quart,total_posts,answered,unanswered
"2010-04-01 00:00:00","3","3","0"
"2010-07-01 00:00:00","20","18","2"
"2010-10-01 00:00:00","21","19","2"
"2011-01-01 00:00:00","35","29","6"
"2011-04-01 00:00:00","35","30","5"
"2011-07-01 00:00:00","69","58","11"
"2011-10-01 00:00:00","91","72","19"
"2012-01-01 00:00:00","117","90","27"
"2012-04-01 00:00:00","183","124","59"
"2012-07-01 00:00:00","263","179","84"
"2012-10-01 00:00:00","319","215","104"
"2013-01-01 00:00:00","422","270","152"
"2013-04-01 00:00:00","473","292","181"
"2013-07-01 00:00:00","547","328","219"
"2013-10-01 00:00:00","571","336","235"
"2014-01-01 00:00:00","736","458","278"
"2014-04-01 00:00:00","809","432","377"
"2014-07-01 00:00:00","755","399","356"
"2014-10-01 00:00:00","773","381","392"
"2015-01-01 00:00:00","1002","477","525"
