quart,total_posts,answered,unanswered
"2009-07-01 00:00:00","5","4","1"
"2009-10-01 00:00:00","14","9","5"
"2010-01-01 00:00:00","12","8","4"
"2010-04-01 00:00:00","16","9","7"
"2010-07-01 00:00:00","10","5","5"
"2010-10-01 00:00:00","21","11","10"
"2011-01-01 00:00:00","28","15","13"
"2011-04-01 00:00:00","44","35","9"
"2011-07-01 00:00:00","35","16","19"
"2011-10-01 00:00:00","78","46","32"
"2012-01-01 00:00:00","61","43","18"
"2012-04-01 00:00:00","86","62","24"
"2012-07-01 00:00:00","117","85","32"
"2012-10-01 00:00:00","144","89","55"
"2013-01-01 00:00:00","144","87","57"
"2013-04-01 00:00:00","126","73","53"
"2013-07-01 00:00:00","117","55","62"
"2013-10-01 00:00:00","115","59","56"
"2014-01-01 00:00:00","137","87","50"
"2014-04-01 00:00:00","120","57","63"
"2014-07-01 00:00:00","133","70","63"
"2014-10-01 00:00:00","143","70","73"
"2015-01-01 00:00:00","128","58","70"
"2015-04-01 00:00:00","25","10","15"